"","RC.43N.AA.Normal","RC.43T.AA.Primary_Tumor","PREC.CA.Normal","RC.43N.AA.Normal.1","RC.77N.AA.Normal","RC.77T.AA.Primary_Tumor","RC.165N.AA.Benign","RC.170N.CA.Benign","RC.92a.CA.Primary_Tumor","PREC.CA.Normal.1","PC.3.CA.Malignant","C4.2B.CA.Malignant","RC.43T.AA.Primary_Tumor.1","RC.43N.AA.Normal.2","RC.43T.AA.Primary_Tumor.2","RC.77N.AA.Normal.1","RC.165N.AA.Benign.1","RC.170N.CA.Benign.1","RC.92a.CA.Primary_Tumor.1","C4.2B.CA.Malignant.1","RC.77N.AA.Normal.2","RC.165N.AA.Benign.2","RC.170N.CA.Benign.2","RC.92a.CA.Primary_Tumor.2","PC.3.CA.Malignant.1","C4.2B.CA.Malignant.2","PREC.CA.Normal.2","PC.3.CA.Malignant.2","MDA.Pca2b.AA.Malignant","RC.77T.AA.Primary_Tumor.1","MDA.Pca2b.AA.Malignant.1","MDA.Pca2b.AA.Malignant.2","RC.77T.AA.Primary_Tumor.2"
"hsa-miR-100_st1",13.04,12.7,12.86,12.69,11.92,12.25,11.35,12.03,12.18,13.26,15.06,13.86,13,10.81,13.03,12.97,13.33,12.94,12.53,13.91,12.84,12.69,12.66,13.17,14.8,13.49,14.08,14.14,14.27,12.25,14.1,14.13,12.31
"hsa-miR100_st1",1.73,2.73,2.08,1.72,3.73,1.89,1.7,1.83,1.84,2.03,3.34,2.28,3.98,2,2.24,1.96,0.7,1.25,2.26,1.81,1.11,1.28,2.35,1.98,3.25,2.67,2.4,1.99,1.12,1.5,2.15,2.03,1.54
"hsa-miR-101_st2",9.26,8.38,8.14,8.88,7.89,7.11,8.52,7.57,8.4,7.58,2.99,8.71,8.48,7.52,7.92,8.22,9.73,10.14,9.24,9.01,8.39,9.25,9.45,9.52,2.69,7.45,6.66,3.47,10.12,8.87,10.05,9.82,9.41
"hsa-miR102_st1",9.49,7.69,8.24,8.73,7.81,8.19,8.35,8.29,9.12,7.61,9.11,8.29,9.46,8.85,9.78,8.9,9.82,8.44,9.72,7.94,9.1,8.81,8.85,9.34,9.46,8.95,7.73,9.34,9.69,8.85,9.71,9.52,8.69
"hsa-miR-103_st2",13.75,12.91,12.59,13.46,12.35,12.46,13.07,12.46,12.45,12.58,12.89,12.94,13,12.2,13.5,13.36,13.91,13.91,13.85,13.15,13.25,14.08,13.69,13.25,12.86,12.66,13.12,11.74,14.4,13.13,14.24,14.37,13.15
"hsa-miR103_st1",4.59,2.44,-1.05,-1.71,-0.99,3.55,3.3,-0.31,-2.33,-2.02,-1.04,0.94,-2.38,4.43,6.37,4,-1.31,4.79,-1.5,-0.02,-0.78,-0.43,0.03,-1.05,5.28,-2.15,-0.93,4.13,2.56,4.6,-0.8,6.06,5.66
"hsa-miR104_st2",3.83,3.31,4.07,4.1,4.71,3.25,3.69,3.77,3.46,4.13,2.99,3.37,3.91,3.61,4.15,3.15,4.76,3.27,4.01,3.75,3.6,5.1,3.12,4.03,3.66,3.19,3.71,3.47,4.21,3.88,3.41,4.12,3.74
"hsa-miR105_st1",0.78,-1.43,1.75,2.45,-0.43,-0.2,0.08,-0.26,-0.97,0.99,2.99,0.48,0.3,-1.05,3.07,0.12,5.11,1.25,4.42,2.79,-0.28,3.32,2.18,4.03,-1.83,1.96,-1.68,-0.28,4.07,-0.99,4.92,1.69,-1.28
"hsa-miR-105_st2",0.2,-0.96,4.04,2.62,2.78,-0.29,4.43,1.16,1.38,0.86,7.65,7.28,3.7,-0.07,2.84,1.85,1.65,2.34,1.2,8.2,0.53,1.28,4.03,0.95,3.25,7.22,0.69,2.63,8.54,0.49,7.11,7.92,0.33
"hsa-miR-106a_st2",13.67,12.98,12.45,13.3,12.3,12.63,12.43,12.38,12.11,12.12,12.2,12.85,13.28,11.78,13.63,13.1,13.82,13.88,13.69,13.08,13.25,13.4,13.69,13.71,12.01,12.34,13.29,10.56,14.71,12.74,14.6,14.65,12.9
